CATEGORY_NAME,PRE_COVID_BUSINESSES,POST_COVID_BUSINESSES,PRE_COVID_REVIEWS,POST_COVID_REVIEWS,PRE_COVID_RATINGS,POST_COVID_RATINGS,PERCENT_CHANGE_BUSINESSES,PERCENT_CHANGE_REVIEWS,CHANGE_RATINGS
Pakistani,139,121,4765,2930,3.97,4.1,-12.95,-38.51,0.13
Orthodontists,602,524,3027,2065,3.56,3.16,-12.96,-31.78,-0.4
Landmarks & Historical Buildings,254,221,4828,2495,4.38,4.36,-12.99,-48.32,-0.02
Security Systems,260,226,1886,1232,2.99,3.43,-13.08,-34.68,0.44
Mobile Phones,794,690,5318,3649,2.78,2.58,-13.1,-31.38,-0.2
Beauty & Spas,11651,10124,103618,61525,3.86,3.78,-13.11,-40.62,-0.08
Insurance,335,291,2181,1579,2.65,2.66,-13.13,-27.6,0.01
Mobile Phone Accessories,426,370,2290,1583,3.16,3.1,-13.15,-30.87,-0.06
Dentists,2230,1935,10012,6805,3.79,3.51,-13.23,-32.03,-0.28
Toy Stores,378,328,1785,1242,3.86,3.72,-13.23,-30.42,-0.14
Sporting Goods,1276,1107,8148,6299,4.08,3.87,-13.24,-22.69,-0.21
Car Rental,600,520,5961,3527,2.6,2.24,-13.33,-40.83,-0.36
Carpet Installation,120,104,559,501,3.47,3.28,-13.33,-10.38,-0.19
Doctors,3313,2869,17136,12195,3.38,3.11,-13.4,-28.83,-0.27
General Dentistry,1753,1518,8073,5509,3.73,3.46,-13.41,-31.76,-0.27
Fabric Stores,141,122,633,421,3.54,3.61,-13.48,-33.49,0.07
Rugs,133,115,880,512,3.21,3.44,-13.53,-41.82,0.23
Vinyl Records,110,95,1002,512,4.09,4.18,-13.64,-48.9,0.09
Framing,161,139,547,393,4.22,4.38,-13.66,-28.15,0.16
Arcades,305,263,5784,2838,3.42,3.38,-13.77,-50.93,-0.04
Professional Services,2683,2312,15636,10876,3.51,3.46,-13.83,-30.44,-0.05
Cosmetics & Beauty Supply,1298,1118,7933,5008,3.6,3.4,-13.87,-36.87,-0.2
Mobile Phone Repair,447,385,3352,2137,3.95,3.9,-13.87,-36.25,-0.05
Leather Goods,108,93,650,479,3.71,3.82,-13.89,-26.31,0.11
Home Decor,1526,1313,9598,6740,3.33,3.16,-13.96,-29.78,-0.17
Lounges,788,677,27818,14351,3.88,3.92,-14.09,-48.41,0.04
Ethnic Food,423,363,13597,7135,4.05,4.02,-14.18,-47.53,-0.03
Bowling,155,133,3219,1600,3.35,3.39,-14.19,-50.3,0.04
Department Stores,1180,1012,9173,5811,3.06,2.77,-14.24,-36.65,-0.29
Lingerie,140,120,687,395,3.79,3.81,-14.29,-42.5,0.02
Sports Medicine,259,222,1397,921,3.73,3.64,-14.29,-34.07,-0.09
Dermatologists,308,264,1719,1138,3.47,3.56,-14.29,-33.8,0.09
Electronics,1214,1040,8309,6011,2.87,2.68,-14.33,-27.66,-0.19
Tours,711,609,17952,8433,4.4,4.39,-14.35,-53.02,-0.01
Office Cleaning,298,255,2038,1486,4.13,4.15,-14.43,-27.09,0.02
Telecommunications,360,308,1724,1153,2.47,2.57,-14.44,-33.12,0.1
Real Estate Agents,499,426,2233,1849,3.88,3.9,-14.63,-17.2,0.02
Irish,150,128,4312,2022,3.74,3.89,-14.67,-53.11,0.15
Musical Instruments & Teachers,218,186,872,662,3.97,3.89,-14.68,-24.08,-0.08
Comic Books,109,93,529,457,4.23,4.15,-14.68,-13.61,-0.08
Auto Insurance,168,143,918,536,2.92,3.34,-14.88,-41.61,0.42
Naturopathic/Holistic,187,159,929,653,4.19,4.02,-14.97,-29.71,-0.17
Karaoke,227,193,3765,2022,3.64,3.61,-14.98,-46.29,-0.03
Chiropractors,611,519,2509,1818,4.38,4.24,-15.06,-27.54,-0.14
Graphic Design,179,152,764,625,4.02,4.03,-15.08,-18.19,0.01
Buffets,390,331,13157,6245,3.5,3.71,-15.13,-52.53,0.21
Tax Services,119,101,452,300,3.59,3.3,-15.13,-33.63,-0.29
Podiatrists,112,95,439,278,3.38,3.5,-15.18,-36.67,0.12
Surgeons,118,100,660,405,3.58,3.16,-15.25,-38.64,-0.42
Arts & Crafts,1084,918,6764,4317,4.06,4.02,-15.31,-36.18,-0.04
Family Practice,430,364,2412,1743,3.28,2.55,-15.35,-27.74,-0.73
Specialty Schools,742,628,4307,2621,4.16,4.01,-15.36,-39.15,-0.15
Barbers,1438,1217,8967,5052,4.08,3.98,-15.37,-43.66,-0.1
Music Venues,772,653,28248,13587,3.71,3.71,-15.41,-51.9,0
Country Clubs,109,92,581,318,3.78,3.43,-15.6,-45.27,-0.35
Food Stands,268,226,5737,3373,4.36,4.38,-15.67,-41.21,0.02
Adult Entertainment,178,150,2678,1208,3.62,3.6,-15.73,-54.89,-0.02
Art Galleries,577,486,5085,2938,4.32,4.3,-15.77,-42.22,-0.02
Sewing & Alterations,716,603,3921,2459,3.87,4.09,-15.78,-37.29,0.22
Jewelry,1223,1030,6788,4288,4.08,4.08,-15.78,-36.83,0
Pool Halls,126,106,1566,779,3.53,3.62,-15.87,-50.26,0.09
Videos & Video Game Rental,125,105,611,397,3.78,3.47,-16,-35.02,-0.31
Reflexology,355,298,3435,2014,4.13,4.11,-16.06,-41.37,-0.02
Public Transportation,112,94,1218,443,2.96,3.03,-16.07,-63.63,0.07
Motorcycle Repair,180,151,765,723,3.78,3.47,-16.11,-5.49,-0.31
Bridal,428,359,3406,1854,3.98,4.12,-16.12,-45.57,0.14
French,290,243,20149,10030,4.08,4.2,-16.21,-50.22,0.12
Tobacco Shops,559,468,3516,2372,3.93,3.8,-16.28,-32.54,-0.13
Makeup Artists,793,663,6831,3663,4.21,4.2,-16.39,-46.38,-0.01
Massage,1669,1392,17093,9329,4.01,3.98,-16.6,-45.42,-0.03
Jazz & Blues,126,105,6095,2430,4.07,4.18,-16.67,-60.13,0.11
Active Life,6183,5152,53082,32055,3.98,3.85,-16.67,-39.61,-0.13
Cinema,281,234,7567,2012,3.27,3.35,-16.73,-73.41,0.08
Blow Dry/Out Services,382,318,3802,2140,4.2,4.23,-16.75,-43.71,0.03
Home & Rental Insurance,125,104,456,359,3.59,3.77,-16.8,-21.27,0.18
Day Spas,1565,1302,20175,10859,3.85,3.79,-16.81,-46.18,-0.06
Accountants,107,89,318,207,3.88,3.38,-16.82,-34.91,-0.5
Physical Therapy,485,403,2208,1394,3.75,3.77,-16.91,-36.87,0.02
Books,685,569,4686,3044,4.08,4.12,-16.93,-35.04,0.04
Mags,685,569,4686,3044,4.08,4.12,-16.93,-35.04,0.04
Music & Video,685,569,4686,3044,4.08,4.12,-16.93,-35.04,0.04
Spray Tanning,301,250,2867,1337,4.21,4.07,-16.94,-53.37,-0.14
Vacation Rentals,128,106,992,726,3.3,3.05,-17.19,-26.81,-0.25
Art Supplies,238,197,1344,830,3.72,3.6,-17.23,-38.24,-0.12
Hair Stylists,1233,1018,8605,5035,4.15,4.09,-17.44,-41.49,-0.06
Formal Wear,246,203,1449,754,3.68,3.6,-17.48,-47.96,-0.08
Hair Salons,4018,3315,28411,15962,4.06,4.01,-17.5,-43.82,-0.05
Recreation Centers,192,158,2064,1073,4.09,4.05,-17.71,-48.01,-0.04
Wedding Planning,583,479,4611,2939,4.1,3.98,-17.84,-36.26,-0.12
Bookstores,291,239,2671,1729,4.2,4.28,-17.87,-35.27,0.08
Used,564,463,4157,2430,3.71,3.62,-17.91,-41.54,-0.09
Vintage & Consignment,564,463,4157,2430,3.71,3.62,-17.91,-41.54,-0.09
Transportation,690,565,7753,3476,3.14,3.23,-18.12,-55.17,0.09
Bed & Breakfast,284,232,2951,1815,3.63,3.67,-18.31,-38.5,0.04
Tanning Beds,120,98,710,356,3.67,3.41,-18.33,-49.86,-0.26
Arts & Entertainment,4156,3392,86126,41519,3.84,3.85,-18.38,-51.79,0.01
Obstetricians & Gynecologists,270,220,1572,898,3.03,2.72,-18.52,-42.88,-0.31
Shoe Stores,813,662,4138,2445,3.44,3.46,-18.57,-40.91,0.02
Fashion,4334,3529,27054,16466,3.52,3.37,-18.57,-39.14,-0.15
Education,1571,1274,9237,5401,4.12,4.03,-18.91,-41.53,-0.09
Sports Clubs,252,204,2294,1079,3.33,3.22,-19.05,-52.96,-0.11
Costumes,105,85,560,301,3.52,3.4,-19.05,-46.25,-0.12
Massage Therapy,1135,917,8342,5033,4.22,4.2,-19.21,-39.67,-0.02
Tanning,530,428,4351,2025,3.99,3.87,-19.25,-53.46,-0.12
Kids Activities,325,262,2931,1449,4,3.9,-19.38,-50.56,-0.1
Colleges & Universities,136,109,668,369,2.97,2.62,-19.85,-44.76,-0.35
Cardio Classes,130,104,742,467,4.2,3.89,-20,-37.06,-0.31
Vape Shops,379,303,1617,1110,3.86,3.54,-20.05,-31.35,-0.32
Parking,214,171,2467,1070,2.98,2.64,-20.09,-56.63,-0.34
Dry Cleaning,333,266,1602,1025,3.53,3.69,-20.12,-36.02,0.16
Antiques,487,388,2360,1612,3.96,4.02,-20.33,-31.69,0.06
Party Bus Rentals,108,86,927,474,4.27,4.17,-20.37,-48.87,-0.1
Shoe Repair,216,172,1073,709,3.75,4.05,-20.37,-33.92,0.3
Stadiums & Arenas,103,82,1670,564,3.83,3.97,-20.39,-66.23,0.14
Sports Wear,434,345,2151,1443,3.65,3.46,-20.51,-32.91,-0.19
Outlet Stores,141,112,885,538,3.45,3.29,-20.57,-39.21,-0.16
Men's Clothing,981,773,5443,2989,3.48,3.33,-21.2,-45.09,-0.15
Dance Clubs,259,204,5935,2424,3.35,3.29,-21.24,-59.16,-0.06
Party Equipment Rentals,160,126,734,496,4.18,4.14,-21.25,-32.43,-0.04
Traditional Chinese Medicine,150,118,1065,546,4.33,4.26,-21.33,-48.73,-0.07
Plus Size Fashion,117,92,527,282,3.44,3.28,-21.37,-46.49,-0.16
Weight Loss Centers,346,272,1939,1120,3.8,3.78,-21.39,-42.24,-0.02
Local Flavor,1190,934,30080,13979,4.08,4.01,-21.51,-53.53,-0.07
Preschools,283,222,1121,654,3.89,3.86,-21.55,-41.66,-0.03
Hair Extensions,531,416,4578,2713,4.18,4.08,-21.66,-40.74,-0.1
Internal Medicine,190,148,1130,654,3.35,2.93,-22.11,-42.12,-0.42
Screen Printing/T-Shirt Printing,107,83,406,322,3.86,3.41,-22.43,-20.69,-0.45
Elementary Schools,178,138,757,437,3.7,3.66,-22.47,-42.27,-0.04
Acupuncture,319,247,1707,1051,4.41,4.33,-22.57,-38.43,-0.08
Laundry Services,968,748,3957,2483,3.41,3.67,-22.73,-37.25,0.26
Limos,240,185,1659,765,4,4.04,-22.92,-53.89,0.04
Interval Training Gyms,174,134,1124,623,4.01,3.69,-22.99,-44.57,-0.32
Escape Games,143,110,2465,1046,4.58,4.52,-23.08,-57.57,-0.06
Party & Event Planning,896,689,11611,5559,3.83,3.76,-23.1,-52.12,-0.07
Airport Shuttles,268,206,1969,841,3.34,3.45,-23.13,-57.29,0.11
Reiki,160,123,893,501,4.58,4.53,-23.13,-43.9,-0.05
Trainers,1175,902,7692,4072,3.61,3.29,-23.23,-47.06,-0.32
Women's Clothing,1601,1227,8565,4625,3.53,3.39,-23.36,-46,-0.14
Art Classes,205,157,1239,621,4.46,4.49,-23.41,-49.88,0.03
Gyms,1457,1114,9870,5123,3.63,3.29,-23.54,-48.1,-0.34
Religious Organizations,229,175,1236,642,4.22,4.11,-23.58,-48.06,-0.11
Travel Services,228,174,2468,1296,3.51,3.17,-23.68,-47.49,-0.34
Accessories,1206,920,6502,3628,3.77,3.62,-23.71,-44.2,-0.15
Fitness & Instruction,2560,1945,16003,8159,3.89,3.63,-24.02,-49.02,-0.26
Churches,179,136,721,382,4.25,4.05,-24.02,-47.02,-0.2
Street Vendors,216,164,3376,2642,4.24,4.26,-24.07,-21.74,0.02
Life Coach,112,85,560,307,4.45,4.18,-24.11,-45.18,-0.27
Dog Walkers,221,167,1239,877,4.54,4.16,-24.43,-29.22,-0.38
Educational Services,114,86,727,369,4.32,4.04,-24.56,-49.24,-0.28
Party Supplies,251,188,1263,686,3.71,3.7,-25.1,-45.68,-0.01
Child Care & Day Care,361,270,1351,690,3.68,3.65,-25.21,-48.93,-0.03
Hookah Bars,153,114,1685,806,3.56,3.57,-25.49,-52.17,0.01
Nutritionists,360,268,1839,1126,4.15,3.96,-25.56,-38.77,-0.19
Dry Cleaning & Laundry,903,672,3599,2027,3.35,3.62,-25.58,-43.68,0.27
Social Clubs,112,83,1515,733,4.07,4.03,-25.89,-51.62,-0.04
Cycling Classes,108,80,968,445,4.24,3.59,-25.93,-54.03,-0.65
Taxis,195,144,1158,549,2.82,2.75,-26.15,-52.59,-0.07
DJs,106,78,599,299,4.52,4.55,-26.42,-50.08,0.03
Pilates,243,177,1452,651,4.34,4.09,-27.16,-55.17,-0.25
Yoga,720,524,4776,2110,4.01,3.81,-27.22,-55.82,-0.2
Session Photography,279,203,1300,763,4.49,4.56,-27.24,-41.31,0.07
Dance Studios,147,106,541,278,4.4,4.41,-27.89,-48.61,0.01
Children's Clothing,342,246,1891,821,3.24,3.26,-28.07,-56.58,0.02
Photographers,378,269,1811,1015,4.3,4.3,-28.84,-43.95,0
Event Photography,247,174,1140,615,4.58,4.53,-29.55,-46.05,-0.05
Summer Camps,201,141,1027,480,3.79,3.68,-29.85,-53.26,-0.11
Performing Arts,442,310,5093,1737,4.02,4,-29.86,-65.89,-0.02
Martial Arts,216,151,954,435,4.21,3.92,-30.09,-54.4,-0.29
Boot Camps,283,197,1748,766,4.22,3.98,-30.39,-56.18,-0.24
Barre Classes,127,88,747,261,4.6,4.46,-30.71,-65.06,-0.14
Boxing,105,72,579,196,4.07,3.86,-31.43,-66.15,-0.21
Libraries,161,108,530,225,4.18,4.2,-32.92,-57.55,0.02
Festivals,318,157,2657,918,4.15,4.06,-50.63,-65.45,-0.09
